time,Hips,Hips,Spine,Chest,Neck,Head,LeftEye,RightEye,LeftShoulder,LeftUpperArm,LeftLowerArm,LeftHand,RightShoulder,RightUpperArm,RightLowerArm,RightHand,LeftUpperLeg,LeftLowerLeg,LeftFoot,LeftToes,RightUpperLeg,RightLowerLeg,RightFoot,RightToes
0.666782,-0.028271 1.066513 -0.007428,358.697 338.509 355.899,3.392 5.062 0.930,0.000 0.000 0.000,6.363 17.630 6.805,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,19.862 41.709 82.300,358.640 36.540 358.892,0.000 0.000 0.000,0.000 0.000 0.000,16.859 335.760 283.344,359.125 338.819 0.548,0.000 0.000 0.000,346.247 21.767 5.337,33.768 1.615 1.485,0.000 0.000 0.000,0.000 0.000 0.000,349.706 18.262 8.114,38.206 358.019 358.134,0.000 0.000 0.000,0.000 0.000 0.000
0.699968,-0.033771 1.062050 -0.007428,358.684 339.139 356.260,3.396 4.786 0.879,0.000 0.000 0.000,5.645 19.676 7.886,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,20.463 40.807 82.574,358.653 36.064 358.912,0.000 0.000 0.000,0.000 0.000 0.000,16.746 336.180 283.335,359.157 339.714 0.519,0.000 0.000 0.000,346.822 21.903 5.584,33.108 1.568 1.441,0.000 0.000 0.000,0.000 0.000 0.000,350.272 18.200 8.127,37.359 358.089 358.202,0.000 0.000 0.000,0.000 0.000 0.000
0.73342,-0.039382 1.057496 -0.007428,358.657 339.035 356.513,3.395 4.834 0.888,0.000 0.000 0.000,5.248 19.700 7.537,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,20.587 40.521 82.911,358.659 35.836 358.921,0.000 0.000 0.000,0.000 0.000 0.000,16.716 338.220 283.432,359.170 340.045 0.508,0.000 0.000 0.000,346.527 21.498 5.993,33.785 1.616 1.486,0.000 0.000 0.000,0.000 0.000 0.000,349.512 18.598 8.632,38.790 357.969 358.085,0.000 0.000 0.000,0.000 0.000 0.000
0.7666939,-0.044894 1.053022 -0.007428,358.630 338.933 356.762,3.394 4.881 0.897,0.000 0.000 0.000,4.850 19.728 7.191,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,20.712 40.232 83.238,358.665 35.611 358.930,0.000 0.000 0.000,0.000 0.000 0.000,16.690 340.292 283.553,359.180 340.339 0.499,0.000 0.000 0.000,346.235 21.113 6.405,34.455 1.664 1.533,0.000 0.000 0.000,0.000 0.000 0.000,348.760 18.944 9.136,40.204 357.844 357.964,0.000 0.000 0.000,0.000 0.000 0.000
0.799897,-0.050444 1.048518 -0.007428,358.604 338.832 357.011,3.394 4.927 0.905,0.000 0.000 0.000,4.445 19.759 6.843,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,20.840 39.936 83.562,358.671 35.386 358.939,0.000 0.000 0.000,0.000 0.000 0.000,16.669 342.425 283.702,359.190 340.600 0.490,0.000 0.000 0.000,345.939 20.739 6.827,35.127 1.714 1.580,0.000 0.000 0.000,0.000 0.000 0.000,348.004 19.245 9.647,41.624 357.712 357.835,0.000 0.000 0.000,0.000 0.000 0.000
0.8333809,-0.050444 1.043948 -0.007428,358.667 339.651 357.323,3.396 4.818 0.885,0.000 0.000 0.000,4.602 18.560 6.935,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,21.147 40.788 83.484,358.673 35.295 358.943,0.000 0.000 0.000,0.000 0.000 0.000,17.162 341.633 283.545,359.179 340.304 0.500,0.000 0.000 0.000,345.970 19.430 6.709,35.693 1.757 1.621,0.000 0.000 0.000,0.000 0.000 0.000,347.752 19.101 9.770,41.981 357.677 357.801,0.000 0.000 0.000,0.000 0.000 0.000
0.8667939,-0.050444 1.039438 -0.007428,358.722 340.470 357.632,3.397 4.718 0.867,0.000 0.000 0.000,4.760 17.349 7.019,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,21.468 41.621 83.423,358.675 35.234 358.946,0.000 0.000 0.000,0.000 0.000 0.000,17.645 340.836 283.388,359.169 340.019 0.509,0.000 0.000 0.000,345.991 18.138 6.591,36.259 1.800 1.663,0.000 0.000 0.000,0.000 0.000 0.000,347.495 18.944 9.895,42.343 357.642 357.767,0.000 0.000 0.000,0.000 0.000 0.000
0.8999009,-0.050444 1.034987 -0.007428,358.770 341.285 357.938,3.398 4.627 0.850,0.000 0.000 0.000,4.916 16.130 7.093,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,21.803 42.431 83.379,358.676 35.201 358.947,0.000 0.000 0.000,0.000 0.000 0.000,18.118 340.037 283.233,359.159 339.744 0.518,0.000 0.000 0.000,346.004 16.866 6.473,36.821 1.844 1.705,0.000 0.000 0.000,0.000 0.000 0.000,347.234 18.776 10.020,42.710 357.606 357.731,0.000 0.000 0.000,0.000 0.000 0.000
0.9334199,-0.056088 1.034987 -0.007428,358.935 341.102 358.270,3.398 4.635 0.852,0.000 0.000 0.000,5.281 16.510 6.587,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,21.804 43.463 83.432,358.669 35.444 358.937,0.000 0.000 0.000,0.000 0.000 0.000,17.867 343.010 284.607,359.135 339.098 0.539,0.000 0.000 0.000,345.277 17.515 6.612,37.501 1.899 1.758,0.000 0.000 0.000,0.000 0.000 0.000,346.748 19.587 10.157,42.727 357.604 357.730,0.000 0.000 0.000,0.000 0.000 0.000
0.9665639,-0.061544 1.034987 -0.007428,359.099 340.925 358.594,3.398 4.643 0.853,0.000 0.000 0.000,5.642 16.877 6.096,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,21.808 44.468 83.482,358.663 35.690 358.927,0.000 0.000 0.000,0.000 0.000 0.000,17.526 345.969 285.976,359.111 338.426 0.562,0.000 0.000 0.000,344.562 18.138 6.747,38.173 1.954 1.811,0.000 0.000 0.000,0.000 0.000 0.000,346.259 20.398 10.293,42.756 357.601 357.727,0.000 0.000 0.000,0.000 0.000 0.000
